subcategory;category
linear regression;regression
lasso regression;regression
ridge regression;regression
svr;regression
logistic regression;classification
support vector machine classifier;classification
svc;classification
naive bayes;classification
knn;classification
decision tree classifier;classification
k nearest neighbors;classification
k means;clustering
spectral clustering;clustering
hca;clustering
hierarchical cluster analysis;clustering
ap;clustering
affinity propagation;clustering
self organising map;clustering
Density Based Spatial Clustering of Applications with Noise;clustering
clustering;clustering
DBSCAN;clustering
semantic segmentation;computer vision
instance segmentation;computer vision
region based segmentation;computer vision
edge detection segmentation;computer vision
object detection;computer vision
image recognition;computer vision
facial recognition;computer vision
face object yolo;computer vision
image classification;computer vision
pytorch;computer vision
machine translation;nlp
sentiment analysis;nlp
speech recognition;nlp
text summarisation;nlp
text generation;nlp
mbart;nlp
nlp;nlp
nltk spacy gensim;nlp
huggingface;nlp
marianmt;nlp
bleu;nlp
bert word2vec glove;nlp
skipgram;nlp 
bagofwords;nlp
fasttext;nlp
tfidf;nlp
tfagent;reinforcement learning
ppo1;reinforcement learning
ppo;reinforcement learning
stablebaselines;reinforcement learning
a2c;reinforcement learning
dqn;reinforcement learning
trpo;reinforcement learning
sarsa;reinforcement learning
ddpg;reinforcement learning
qlearning;reinforcement learning
markov decision;reinforcement learning
reinforcement;reinforcement learning
