subcategory;category
linear regression;regression
lasso regression;regression
randomforestregression;regression
ridge regression;regression
XGBRegressor;regression
GradientBoostingRegressor;regression
mars-regression;regression
regressiontree;regression
elasticnet;regression
olsregression;regression
plsregression;regression
mae-mse-r2;regression
svr;regression
adaline;classification
perceptron;classification
logistic regression;classification
support vector machine classifier;classification
svc;classification
naive bayes;classification
knn;classification
decision tree classifier;classification
k nearest neighbors;classification
k means;clustering
spectral clustering;clustering
hca;clustering
hierarchical cluster analysis;clustering
affinity propagation;clustering
self organising map;clustering
clustering;clustering
fcm;clustering
agglomerativeclustering;clustering
meanshift;clustering
gaussianmixture;clustering
birch;clustering
dbclasd;clustering
denclue;clustering
minibatchkmeans;clustering
kmedoids;clustering
kmodes;clustering
optics clustering;clustering
DBSCAN;clustering
semanticsegmentation;computer vision
instancesegmentation;computer vision
edge detection-box;computer vision
objectdetection;computer vision
facial image recognition;computer vision
imageclassification;computer vision
opencv;computer vision
vgg;computer vision
openvino;computer vision
resnet50;computer vision
efficientnet;computer vision
mobilenetv2;computer vision
inceptionv3;computer vision
unet;computer vision
fasterrcnn;computer vision
nasnet;computer vision
image object yolo;computer vision
deeplab;computer vision
pytorch;computer vision
sentiment analysis;nlp
speech recognition;nlp
encoder decoder nlp;nlp
mbart;nlp
nlp;nlp
nltk spacy gensim;nlp
huggingface;nlp
marianmt;nlp
bleu_score;nlp
t5model;nlp
textblob;nlp
autonlp;nlp
xlm;nlp
pegasus;nlp
electra;nlp
gpt;nlp
bert roberta;nlp
word2vec glove;nlp
skipgram;nlp
bagofwords cbow;nlp
fasttext;nlp
tfidf;nlp
chatbot;nlp
tfagent;reinforcement learning
ppo1;reinforcement learning
stablebaselines;reinforcement learning
a2c;reinforcement learning
dqn;reinforcement learning
trpo;reinforcement learning
sarsa;reinforcement learning
ddpg;reinforcement learning
qlearning;reinforcement learning
markov decision;reinforcement learning
reinforcement;reinforcement learning
